LLMIME_Beastmaster_SummonRename_Plant	Malboro
LLMIME_Beastmaster_SummonRename_Totem	Rage Totem
LLMIME_StatusText_BrawlerFistBlocked	<font color='#FF0000'>*You try to fight like a brawler, but it is futile.*</font>
LLMIME_StatusText_DoubleStrike	<font color='#8A2BE2' size='24'>Double Strike!</font>
LLMIME_StatusText_MimeAmuletShatters	<font color='#FFC0CB'>*The mime's amulet shatters!*</font>
LLMIME_StatusText_MimeFollowerRecallFailed	<font color='#F08080'>*The mime looks at you.*</font>
LLMIME_StatusText_MimeFollowerRecalled	<font color='#6A5ACD'>*You summon the mime to your position.*</font>
LLMIME_StatusText_MimeFollowerTreasureRemoved	<font color='#FF0000'>*The mime's equipment dissipates as it returns to its original owner.*</font>
LLMIME_StatusText_MimeMaskBlocked	<font color='#FF0000'>*You can't equip the Mask of Mimicry in combat!*</font>
LLMIME_StatusText_MimeSkillbookBlocked	<font color='#FF0000'>*Only a mime can learn that!*</font>
LLMIME_StatusText_MimickingEnded	<font color='#FF7F50'>Mimicking Ended</font>
LLMIME_StatusText_MimickingFailed	<font color='#DC143C'>Mimicking Failed!</font>
LLMIME_StatusText_MusicBoxBlocked	<font color='#FF0000'>*The music box key refuses to twist.*</font>
LLMIME_StatusText_MusicBoxBlockedInCombat	<font color='#FFFFFF'>*It seems unwise to play with a music box while in combat...*</font>
LLMIME_StatusText_MusicBoxShardBlocked	<font color='#FF0000'>*Unfortunately, the shard does nothing.*</font>
LLMIME_StatusText_MusicBoxShatters	<font color='#FF0000'>*The music box shatters to pieces!*</font>
LLMIME_StatusText_MusicBoxUsed	<font color='#EE82EE'>*As you turn the key, the music box echoes an off-beat jingle.*</font>
LLMIME_StatusText_NewSkillbooksAvailable	<font color='#FF69B4' size='20'>*You feel the mask grow stronger. New power awaits...*</font>
LLMIME_StatusText_SkillbookBlockedForFollower	<font color='#FF0000'>*The mime shrugs. Seems he doesn't want to read that.*</font>
LLMIME_StatusText_Swapped	<font color='#7f00ff'>...and Swapped!</font>
LLMIME_StatusText_SwappedFailed	<font color='#FF0000'>...and Not Swapped!</font>
LLMIME_StatusText_UnarmedBonusDamage	<font color='#DC143C' size='20'>Unarmed Combo!</font>
LLMIME_StatusText_VitalityCheck_Failed	<font color='#FF0000'>Constitution Too Low</font>
LLMIME_StatusText_WishFailed	<font color='#FF0000'>Wish Failed - Health too low!</font>
LLMIME_StatusText_FacingDirectionSaved	<font color='#FF7F50'>Facing Direction Saved</font>
LLMIME_StatusText_FatalityCooldownReset	<font color='#a22aff'>Deathblow</font> <font color='#2effd0'>Refreshed</font>
