Key	Content
Stats_LLMIME_Brawler	Brawler
Stats_LLMIME_Concentration	Concentration
Stats_LLMIME_BrawlerStance	Brawler Stance
Stats_LLMIME_BrawlerStance_Con	Brawler Stance
Stats_LLMIME_BrawlerStance_Str	Brawler Stance
Stats_LLMIME_BrawlerStance_Fin	Brawler Stance
Stats_LLMIME_UnarmedBonusDamage	Unarmed Bonus Damage
Stats_LLMIME_TotemRage	Totem Rage
Stats_LLMIME_ForcedEvolution	Forced Evolution
Stats_LLMIME_SurfaceClear	Surface Clear
Stats_LLMIME_DecoyDisabled	Decoy
Stats_LLMIME_Sealed	Sealed
Stats_LLMIME_VitalBuff	Strengthened Vitals
Stats_LLMIME_VitalDebuff	Weakened Vitals
Stats_LLMIME_ThrownWeapon_Wand	Flabbergasted
Stats_LLMIME_ConcentrationBonus	Concentration
Stats_LLMIME_ApplyTaunted	Taunted
Stats_LLMIME_ForcedEvolution_CharacterStats	Forced Evolution
Stats_LLMIME_Evading2	Evading
Stats_LLMIME_Evading3	Evading
Stats_LLMIME_Frog_Debuff	Frog
Stats_LLMIME_MimickingDebuff1	Mimicking
Stats_LLMIME_MimickingDebuff2	Mimicking
Stats_LLMIME_MimickingDebuff3	Mimicking
Stats_LLMIME_MimicWeaponRequirements	Mimicking
Stats_LLMIME_ShadowForm	Shadow Form
Stats_LLMIME_ShadowForm_DamageResistance	Shadow Veil
