Key	Content	Handle
LLMIME_Preset_Origin_Mime_DisplayName	The Mime	h610474f0gd7f5g49a4g9eabgf5fe6c0dcd4a
LLMIME_Preset_Origin_Mime_Description	Your identity has long been erased. All that remains is The Mask. Yet, something stirs beneath the surface, a faint whisper of something thought to be long gone...	h586beea9g9a8dg4d95gaf12g7f5c45d89b62
LLMIME_Preset_Mime_DisplayName	Mime	h8f468b6bg27bcg4388gbf3fgd074a28e6777
LLMIME_Preset_Mime_Description	A warrior who mimics the actions of allies in battle	hbd3b39e4g138eg4edag9b8cgfdbfc4736839
LLMIME_Preset_Mime_LongDescription	A warrior who mimics the actions of allies in battle. Mimes are also proficient with unarmed combat, and provide additional skills and bonuses to nearby summoned creatures.	h6ea8d9fag5afeg47fagb4d3gc2948b34fa7b
LLMIME_TheMime	The Mime	hf6f40e08gdda4g4464ga0a4gbc8bdffa8dd1
LLMIME_DarkElf	Dark Elf	haffffb35g54e2g4689g9cedg709ac636c41b
LLMIME_Preset_Race_DarkElf_DisplayName	Dark Elf	hca5fae3ag9f65g4296gbf30ge906093d9023
LLMIME_Preset_Race_DarkElf_Description	A rare subset of elves imbued with dark energy. Some surmise that the Dark Elves are a result of the influence of an alien being, or perhaps the Void itself.	h6772c1b6ge08fg4af0ga3f9gdeb6d9b17574
LLMIME_Preset_Race_DarkElf_Color_Default	Default	h4224e937gf411g415agad3ag54f6203da782
