new entry "Target_LLMIME_UnarmedAttack1"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "No"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "125"
data "DamageType" "Physical"
data "TargetRadius" "2"
data "AddWeaponRange" "No"
data "IsMelee" "Yes"
data "DeathType" "Physical"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "NonSelf"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_SuckerPunch"
data "DisplayName" "Unarmed Bonus Blow"
data "Description" ""
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "noprepare"
data "PrepareAnimationLoop" "noprepare"
data "PrepareEffect" ""
data "CastAnimation" "attack1"
data "CastSelfAnimation" "attack1"
data "CastTextEvent" "hit"
data "CastEffect" ""
data "TargetEffect" "RS3_FX_Items_Weapons_Impact_Weapon_Flurry_Root_01:root:cast"
