new entry "Shout_LLMIME_Mimic"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Source"
data "ActionPoints" "4"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "Yes"
data "Icon" "Mood Panel_a"
data "DisplayName" "Shout_LLMIME_Mimic_DisplayName"
data "DisplayNameRef" "Mimic"
data "Description" "Shout_LLMIME_Mimic_Description"
data "DescriptionRef" "Mime job command. Imitate an ally's actions."
data "FXScale" "50"
data "PrepareAnimationInit" "noprepare"
data "PrepareAnimationLoop" "noprepare"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"

